Portfolio Name,Company Name,Asset Name,Sub-industry,Asset Type,Latitude,Longitude,Address,Asset ID,Country,Country Code,Realm,Biome,Ecosystem Functional Group,River Basin,Priority,Sensitive Locations,Biodiversity Importance (Aggregated),High Ecosystem Integrity (Aggregated),Decline in Ecosystem Integrity (Aggregated),Physical Water Risk (Aggregated),Ecosystem Services Provision (Aggregated)
SFI,Confidential,Confidential878,Diversified Metals & Mining,Mining,18.579151,45.356573,,20362,Saudi Arabia,SAU,Palearctic,Deserts & Xeric Shrublands,Arabian desert,Arabian Peninsula,1,0.625,0.0969,0.9546,0,0.625,0.0668
SFI,China National Building Materials Group Co Ltd,Anhui Guangde Hongshan Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,31.063867,119.594509,,17809,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yangtze,0,0.5655,0.2407,0.5655,0.3948,0.6652,0.3754
SFI,China National Building Materials Group Co Ltd,Lixian Zhonglian Tianguang Cement Co Ltd,Diversified Metals & Mining,Mining,34.046654,113.153132,,17810,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Huang He Plain mixed forests,Yellow Sea & East China Sea,0,0.5284,0.0332,0.5284,0.467,1,0.1589
SFI,China National Building Materials Group Co Ltd,Changshan Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,28.968326,118.456606,,17811,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yellow Sea & East China Sea,1,0.7176,0.502,0.7176,0.7405,0.5626,0.5453
SFI,China National Building Materials Group Co Ltd,Guilin Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,24.93015,110.829581,,17812,China,CHN,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,Jian Nan subtropical evergreen forests,Zhu Jiang,1,0.7107,0.774,0.7107,0.5261,0.531,0.6412
SFI,China National Building Materials Group Co Ltd,Hunan Liyang Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,26.340874,112.811689,,17813,China,CHN,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,Jian Nan subtropical evergreen forests,Xiang Jiang,0,0.5663,0.1635,0.6506,0.4907,0.5663,0.3801
SFI,China National Building Materials Group Co Ltd,Lunan Zhonglian Cement Co Ltd,Diversified Metals & Mining,Mining,35.212561,117.02735,,17814,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Huang He Plain mixed forests,Yellow Sea & East China Sea,0,0.5643,0.5643,0.5366,0.4101,1,0.1909
SFI,China National Building Materials Group Co Ltd,Hunan Suxian Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,25.574033,113.006797,,17815,China,CHN,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,Jian Nan subtropical evergreen forests,Zhu Jiang,0,0.5527,0.3586,0.6935,0.5133,0.5527,0.5432
SFI,China National Building Materials Group Co Ltd,Jiangxi Luxi Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,27.6541,114.074635,,17816,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yangtze,0,0.5435,0.1368,0.6939,0.4542,0.5435,0.4905
SFI,China National Building Materials Group Co Ltd,Jiangxi Yushan Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,28.699945,118.314033,,17817,China,CHN,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,Jian Nan subtropical evergreen forests,Yangtze,0,0.5501,0.4863,0.7009,0.3731,0.5501,0.5082
SFI,China National Building Materials Group Co Ltd,Jiangsu Xushe Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,31.357426,119.581498,,17818,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yellow Sea & East China Sea,0,0.5324,0.308,0.5324,0.341,0.7401,0.3654
SFI,China National Building Materials Group Co Ltd,Xuzhou Zhonglian Cement Co Ltd,Diversified Metals & Mining,Mining,34.474876,117.459992,,17819,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Huang He Plain mixed forests,Yellow Sea & East China Sea,0,0.5076,0.5076,0.5075,0.3845,1,0.2086
SFI,China National Building Materials Group Co Ltd,Hunan Jinlei South Cement Co Ltd,Diversified Metals & Mining,Mining,25.959229,113.238784,,17820,China,CHN,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,Jian Nan subtropical evergreen forests,Xiang Jiang,0,0.5663,0.2759,0.7323,0.5276,0.5663,0.5065
SFI,Confidential,Confidential879,Diversified Metals & Mining,Mining,31.436323,39.130651,,20363,Saudi Arabia,SAU,Palearctic,Deserts & Xeric Shrublands,North Arabian desert,Arabian Peninsula,1,0.7525,0.7525,0.9509,0.5299,0.625,0.0429
SFI,India Cements Ltd,India Cements Ltd,Diversified Metals & Mining,Mining,14.665693,78.457835,,18565,India,IND,Indomalayan,Deserts & Xeric Shrublands,Deccan thorn scrub forests,Bay of Bengal (254),1,0.6017,0.2409,0.6017,0.519,0.8667,0.3858
SFI,Confidential,Confidential529,Diversified Metals & Mining,Mining,47.785671,86.848935,,20013,China,CHN,Palearctic,Deserts & Xeric Shrublands,Junggar Basin semi-desert,Irtysh,0,0.5541,0.2083,0.9227,0.5215,0.5541,0.2882
SFI,China National Building Materials Group Co Ltd,Xingtai Zhonglian Cement Co Ltd,Diversified Metals & Mining,Mining,37.304121,114.519444,,17821,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Central China Loess Plateau mixed forests,Yellow Sea & East China Sea,0,0.4989,0.025,0.4989,0.4438,1,0.3266
SFI,China National Building Materials Group Co Ltd,Wulanchabu Zhonglian Cement Co Ltd,Diversified Metals & Mining,Mining,41.712344,113.106074,,17822,China,CHN,Palearctic,"Temperate Grasslands"",""Savannas & Shrublands",Mongolian-Manchurian grassland,WMOBB 292,0,0.5385,0.0206,0.8477,0.5062,0.5385,0.2554
SFI,China National Building Materials Group Co Ltd,Dengfeng Zhonglian Dengdian Cement Co Ltd,Diversified Metals & Mining,Mining,34.372875,113.065124,,17823,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Huang He Plain mixed forests,Yellow Sea & East China Sea,0,0.545,0.0059,0.545,0.4847,1,0.1915
SFI,China National Building Materials Group Co Ltd,Xichuan Zhonglian Cement Co Ltd,Diversified Metals & Mining,Mining,33.10019,111.48759,,17824,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Qin Ling Mountains deciduous forests,Han Shui,1,0.6539,0.0804,0.67,0.4767,0.6539,0.2442
SFI,China National Building Materials Group Co Ltd,Nanyang Zhonglian Wolong Cement Co Ltd,Diversified Metals & Mining,Mining,33.119861,112.603502,,17825,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Han Shui,0,0.5498,0.0341,0.5498,0.4919,0.75,0.19
SFI,Abadeh Cement Co,Abadeh Cement Co,Diversified Metals & Mining,Mining,30.945723,52.893091,,17309,Iran,IRN,Palearctic,Deserts & Xeric Shrublands,Central Persian desert basins,Iranian Plateau,0,0.5259,0.0274,0.8703,0.4882,0.5259,0.1672
SFI,Confidential,Confidential530,Diversified Metals & Mining,Mining,47.993982,122.759874,,20014,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Manchurian mixed forests,Amur,0,0.5239,0.0317,0.7066,0.5239,0.5,0.2319
SFI,Confidential,Confidential594,Diversified Metals & Mining,Mining,4.022882,9.676917,,20078,Cameroon,CMR,Afrotropic,{Mangroves},Central African mangroves,Gulf of Guinea,1,0.8557,0.9988,0.8002,0.4385,0.424,0.8557
SFI,Confidential,Confidential595,Diversified Metals & Mining,Mining,4.011708,9.674043,,20079,Cameroon,CMR,Afrotropic,{Mangroves},Central African mangroves,Gulf of Guinea,1,0.8592,1,0.7992,0.436,0.4234,0.8592
SFI,China National Building Materials Group Co Ltd,Jiangsu Xinjie Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,31.324863,119.647243,,17826,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yellow Sea & East China Sea,0,0.5277,0.3087,0.5277,0.2961,0.7401,0.376
SFI,China National Building Materials Group Co Ltd,Hunan Qidongfang Cement Co Ltd,Diversified Metals & Mining,Mining,26.750371,112.082645,,17827,China,CHN,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,Jian Nan subtropical evergreen forests,Xiang Jiang,0,0.5688,0.0923,0.6168,0.478,0.5688,0.3458
SFI,China National Building Materials Group Co Ltd,Huzhou Coal Mountain Southern Cement Co Ltd,Diversified Metals & Mining,Mining,31.09595,119.751184,,17828,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yellow Sea & East China Sea,0,0.5466,0.3189,0.5466,0.4092,0.7401,0.3582
SFI,China National Building Materials Group Co Ltd,Huzhou Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,30.935667,119.946136,,17829,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yellow Sea & East China Sea,0,0.5622,0.2981,0.5622,0.4166,0.7401,0.3314
SFI,China National Building Materials Group Co Ltd,Dongping Zhonglian Meijing Cement Co Ltd,Diversified Metals & Mining,Mining,35.997904,116.372894,,17830,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Huang He Plain mixed forests,Yellow River,0,0.5245,0.0279,0.5245,0.4577,1,0.1848
SFI,China National Building Materials Group Co Ltd,Tonglu Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,29.827321,119.686369,,17831,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yellow Sea & East China Sea,1,0.7206,0.1791,0.7206,0.517,0.5666,0.894
SFI,China National Building Materials Group Co Ltd,Qingzhou Zhonglian Cement Co Ltd,Diversified Metals & Mining,Mining,36.759877,118.40628,,17832,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Huang He Plain mixed forests,Yellow Sea & East China Sea,0,0.5338,0.0294,0.5338,0.4701,1,0.2004
SFI,China National Building Materials Group Co Ltd,Anhui Guangde Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,31.041526,119.602215,,17833,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yellow Sea & East China Sea,0,0.5691,0.2289,0.5691,0.396,0.75,0.3718
SFI,China National Building Materials Group Co Ltd,Huzhou Huaikan South Cement Co Ltd,Diversified Metals & Mining,Mining,31.091001,119.68622,,17834,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yellow Sea & East China Sea,0,0.5504,0.3172,0.5504,0.401,0.7401,0.3549
SFI,China National Building Materials Group Co Ltd,Rizhao Zhonglian Cement Co Ltd,Diversified Metals & Mining,Mining,35.659014,118.831003,,17835,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Huang He Plain mixed forests,Yellow Sea & East China Sea,0,0.5733,0.0401,0.5733,0.4701,0.75,0.1795
SFI,China National Building Materials Group Co Ltd,Jiangsu Liyang Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,31.361481,119.330047,,17836,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yellow Sea & East China Sea,0,0.5937,0.3077,0.5937,0.4133,0.75,0.4102
